ea_name,ea_team,ea_position,ea_ovr,ea_school_year,matched_player_name,matched_player_id,match_confidence,cfo_position,cfo_valuation,depth_chart_rank,production_score
Peyton Lewis,Tennessee,HB,82,Sophomore,Peyton Lewis,32ac0a09-f2a9-4b0b-9888-8f3d3b67696a,1.0,RB,,,65.1
Ty Redmond,Tennessee,CB,82,Freshman,Ty Redmond,dce46243-225b-4a63-be2e-bdf4154895dc,1.0,DB,324000,1,72.9
Brandon Baker,Texas,RT,82,Sophomore,Brandon Baker,a8761df8-900c-4a12-a98a-2eba11735640,1.0,OL,582729,1,0.0
Graceson Littleton,Texas,CB,82,Freshman,Graceson Littleton,699c0839-da8e-4aae-82d4-db772d2e1f37,1.0,DB,438958,1,77.6
Anthony Lucas,USC,LEDG,82,Senior,Anthony Lucas,9214045f-cc4e-4328-af40-82fbdf356457,1.0,DE,,,77.6
Kameryn Fountain,USC,REDG,82,Sophomore,Kameryn Fountain,821508fa-fa96-412a-98b3-649bdb0f07b6,1.0,DE,,,81.2
Adam Mohammed,Washington,HB,82,Sophomore,Adam Mohammed,66fb4c1e-aad4-4b3c-8491-f25fc93706fc,1.0,RB,,,77.4
Zach Durfee,Washington,LEDG,82,Senior,Zach Durfee,5840749b-3bd4-4373-9133-59e959187af3,1.0,EDGE,,,86.9
AK Dear,Alabama,HB,81,Freshman,AK Dear,228285f7-8f58-4deb-b859-9e6fc465f5f7,1.0,RB,78000,3,64.6
Austin Mack,Alabama,QB,81,Sophomore,Austin Mack,73c2567f-9196-43bd-91cc-d658c7a2f63d,1.0,QB,1174603,1,62.3
Dijon Lee Jr.,Alabama,CB,81,Freshman,Dijon Lee Jr.,fb84bae6-43ad-4283-89cb-725ed8e96e64,1.0,DB,440444,1,76.7
Jah-Marien Latham,Alabama,WILL,81,Senior,Jah-Marien Latham,58dbaab6-0aa4-4a2e-9a74-2667773fdff2,1.0,LB,240572,1,29.8
Josh Cuevas,Alabama,TE,81,Senior,Josh Cuevas,6cb94ed3-22e9-4217-812c-91d27170e053,1.0,TE,,,95.7
Kevin Riley,Alabama,HB,81,Freshman,Kevin Riley,3192c122-2042-458a-8ef9-cd4e308e1f1a,1.0,RB,215219,2,60.2
Nikhai Hill-Green,Alabama,MIKE,81,Senior,Nikhai Hill-Green,c074a7e0-f6a8-40b5-9358-fc0fc79694bb,1.0,LB,,,78.1
Kylon Griffin,Clemson,SS,81,Junior,Kylon Griffin,c0f03a41-5e4d-4aea-812d-e09bd47b54e1,1.0,S,276801,2,45.6
Ryan Linthicum,Clemson,C,81,Senior,Ryan Linthicum,82bd9e79-2806-4313-93f9-ab13605c9ad3,1.0,C,,,0.0
Tristan Leigh,Clemson,LT,81,Senior,Tristan Leigh,c70339fb-ba33-4afd-a257-468d4912b7f3,1.0,OL,,,0.0
Tyler Brown,Clemson,WR,81,Sophomore,Tyler Brown,cd37c06a-0c90-476a-9af3-4a0d1935225a,1.0,WR,269862,1,48.7
Ja'Kobi Jackson,Florida,HB,81,Senior,Ja'Kobi Jackson,989d4125-8ce5-4841-abd4-dba6164ddef4,1.0,RB,,,39.7
Jamari Lyons,Florida,DT,81,Junior,Jamari Lyons,51c49fc0-b8c5-4cd3-88a9-0df8dabe61a8,1.0,DL,436204,1,53.2
Roderick Kearney,Florida,RG,81,Sophomore,Roderick Kearney,5783ddb7-43cc-4366-ab85-58f71085579e,1.0,OL,603560,2,0.0
Adrian Maddox,Georgia,FS,81,Senior,Adrian Maddox,5e080f8f-e490-4936-b803-2f16c88a793a,1.0,S,,,43.8
Bo Hughley,Georgia,RT,81,Sophomore,Bo Hughley,e60ab0d0-009e-4b80-8613-84bed8efa3b3,1.0,OL,,,0.0
Jaden Harris,Georgia,SS,81,Junior,Jaden Harris,4229a611-940a-4470-b18f-16181787615c,1.0,S,198858,3,36.8
Joseph Jonah-Ajonye,Georgia,LEDG,81,Freshman,Joseph Jonah-Ajonye,1ff859f0-a8b2-4f90-a0ac-5a0067077b95,1.0,DL,263768,2,47.1
Davhon Keys,LSU,MIKE,81,Sophomore,Davhon Keys,dfcb7f38-9129-422a-bd7e-8fc59f96719b,1.0,LB,414801,2,87.2
Donovan Green,LSU,TE,81,Junior,Donovan Green,b4cc68fe-7c7b-467b-8f21-c852e9d4e10b,1.0,TE,,,33.0
Jack Pyburn,LSU,LEDG,81,Senior,Jack Pyburn,d3d7e4c6-db52-4f18-a736-98d45c4a1329,1.0,DE,,,90.6
Bert Auburn,Miami,K,81,Senior,Bert Auburn,9720e1dd-55bd-46a3-9d1e-b97d4af6c3e5,1.0,PK,,,0.0
Elija Lofton,Miami,TE,81,Sophomore,Elija Lofton,a4446372-529b-48d2-ad43-e7d1bc887c85,1.0,TE,365478,1,86.7
Matthew McCoy,Miami,LG,81,Junior,Matthew McCoy,81089f63-1bdf-4abb-9c80-7ddfcca48a63,1.0,OL,450000,1,0.0
Ray Ray Joseph,Miami,WR,81,Junior,Ray Ray Joseph,cec29652-f6d0-4182-888c-663c912280b4,1.0,WR,,,31.5
Samson Okunlola,Miami,LG,81,Sophomore,Samson Okunlola,52067403-9c66-4aca-bf40-cfed54e50e8f,1.0,OL,464232,1,0.0
Xavier Lucas,Miami,CB,81,Sophomore,Xavier Lucas,8d990d9e-9090-4a08-b441-dfbf593c2817,1.0,DB,397253,2,87.5
Andrew Sprague,Michigan,RT,81,Sophomore,Andrew Sprague,5f11d287-a54f-488d-bbd0-85aca880565b,1.0,OL,503422,1,0.0
CJ Hester,Michigan,HB,81,Sophomore,CJ Hester,becc0bcf-9426-4afd-a69c-e8b85588a58e,1.0,RB,,,0.0
Max Bredeson,Michigan,FB,81,Senior,Max Bredeson,2cac69b5-b519-4036-8ac9-54ffa07e4ec1,1.0,TE,,,24.9
Mikey Keene,Michigan,QB,81,Senior,Mikey Keene,fcae477b-7366-4760-bdef-6b6838d9c5c3,1.0,QB,,,0.0
Tre Williams,Michigan,DT,81,Senior,Tré Williams,20b8d7f3-203b-4c4e-ba2b-2d9bf7a00469,1.0,DL,,,80.6
Zeke Berry,Michigan,CB,81,Senior,Zeke Berry,36da719a-cf8d-4abb-bef2-fc771944a0e3,1.0,DB,440851,1,61.3
Jaden Greathouse,Notre Dame,WR,81,Junior,Jaden Greathouse,078e90b8-a96f-4a10-b345-f58c6394cda2,1.0,WR,327617,1,45.8
Ty Washington,Notre Dame,TE,81,Junior,Ty Washington,3ea83eee-e2c4-4099-ac17-eecf2a14ce99,1.0,TE,214500,2,48.9
Brandon Inniss,Ohio State,WR,81,Junior,Brandon Inniss,57e73d13-e9e3-4027-a43a-42442d200c1a,1.0,WR,669477,1,65.4
Devin Sanchez,Ohio State,CB,81,Freshman,Devin Sanchez,64bcd251-b074-4a44-b260-2e6151905dd6,1.0,CB,482647,1,52.8
Eddy Pierre-Louis,Oklahoma,LG,81,Sophomore,Eddy Pierre-Louis,2a282158-4c41-4935-b6de-add01e4e5970,1.0,OL,502154,1,0.0
Jovantae Barnes,Oklahoma,HB,81,Senior,Jovantae Barnes,3a816f70-3857-45a2-9973-554d7d1b8f31,1.0,RB,,,37.2
Keontez Lewis,Oklahoma,WR,81,Senior,Keontez Lewis,4a965971-a229-4dbc-abc7-18eeb3d87149,1.0,WR,,,64.6
Taylor Tatum,Oklahoma,HB,81,Sophomore,Taylor Tatum,57d40f47-d1fc-481e-88c3-c08d8ea4d2ec,1.0,RB,,,13.2
Ify Obidegwu,Oregon,CB,81,Freshman,Ify Obidegwu,158ac7ca-43e3-4bb0-a580-17115eb1880e,1.0,DB,401438,1,66.6
Jahlil Florence,Oregon,CB,81,Junior,Jahlil Florence,bfa0619c-f970-43a8-9b1f-4cc5238c9f9b,1.0,DB,,,0.0
Jerry Mixon,Oregon,MIKE,81,Junior,Jerry Mixon,a2eed7f7-fe04-4b45-a641-4827716deb17,1.0,LB,424955,1,89.7
Oscar Adaway III,South Carolina,HB,81,Senior,Oscar Adaway III,fc82a635-8442-4d36-9558-c91922ca9d30,1.0,RB,,,50.1
Jourdan Thomas,Tennessee,FS,81,Junior,Jourdan Thomas,1fcada3b-8a9a-42dc-b1f1-49d8f13533d9,1.0,DB,,,0.0
Alex January,Texas,DT,81,Sophomore,Alex January,45124585-5c29-4d25-8f3c-1c6c94098571,1.0,DL,475200,2,78.2
Hero Kanu,Texas,DT,81,Senior,Hero Kanu,94bc65c4-da31-4447-a376-169530acdb95,1.0,DL,529898,1,83.8
James Simon,Texas,HB,81,Freshman,James Simon,7b63a308-b550-46a6-a6c5-9b2bebad7f01,1.0,RB,143912,2,40.5
Kade Phillips,Texas,CB,81,Freshman,Kade Phillips,f78a83ad-65f8-4db3-b5e8-d16bc7a4b1dc,1.0,DB,363769,1,70.8
