drafttek_rank,drafttek_name,drafttek_school,drafttek_position,player_name,player_team,player_position,cfo_valuation,current_roster_status,current_draft_projection,is_override,class_year,match_confidence
320,Dillon Bell,Georgia,WR,Dillon Bell,Georgia,WR,230400,active,999,False,5,1.05
321,Mohamed Toure,Miami (FL),ILB,Mohamed Toure,Miami,LB,431051,active,999,False,5,1.0
322,Lake McRee,USC,TE,Lake McRee,USC,TE,554400,active,999,False,5,1.05
324,Jaren Kanak,Oklahoma,TE,Jaren Kanak,Oklahoma,TE,475200,active,999,False,5,1.05
326,J. Michael Sturdivant,Florida,WR,J. Michael Sturdivant,Florida,WR,,active,999,False,5,1.05
329,Will Pauling,Notre Dame,WRS,Will Pauling,Notre Dame,WR,576000,active,999,False,5,1.0
330,James Brockermeyer,Miami (FL),OC,James Brockermeyer,Miami,OL,458876,active,999,False,5,1.0
336,Tyre West,Tennessee,DL5T,Tyre West,Tennessee,DL,,active,999,False,4,1.0
342,Trey Smack,Florida,PK,Trey Smack,Florida,PK,432000,active,999,False,5,1.05
345,D.Q. Smith,South Carolina,S,DQ Smith,South Carolina,DB,,active,999,False,4,1.0
348,Will Kacmarek,Ohio State,TE,Will Kacmarek,Ohio State,TE,138600,active,999,False,,1.05
352,Wesley Bissainthe,Miami (FL),OLB,Wesley Bissainthe,Miami,LB,360000,active,999,False,5,1.0
353,Marvin Jones Jr.,Oklahoma,EDGE,Marvin Jones Jr.,Oklahoma,DL,129600,active,999,False,5,1.0
355,Tommy Doman,Florida,P,Tommy Doman,Florida,P,97200,active,999,False,5,1.05
364,Donaven McCulley,Michigan,WR,Donaven McCulley,Michigan,WR,691200,active,999,False,5,1.05
369,C.J. Donaldson,Ohio State,RB,CJ Donaldson,Ohio State,RB,163800,active,999,False,5,1.05
370,Jalen Stroman,Notre Dame,S,Jalen Stroman,Notre Dame,S,570402,active,999,False,5,1.05
372,West Weeks,LSU,ILB,West Weeks,LSU,LB,510761,active,999,False,5,1.0
376,Jalen McMurray,Tennessee,CB,Jalen McMurray,Tennessee,DB,,active,999,False,4,1.0
379,Miles Kitselman,Tennessee,TE,Miles Kitselman,Tennessee,TE,,active,999,False,4,1.05
387,Omari Evans,Washington,WR,Omari Evans,Washington,WR,586339,active,999,False,5,1.05
389,Josh Thompson,LSU,OG,Josh Thompson,LSU,OL,489195,active,999,False,5,1.0
391,Wade Woodaz,Clemson,OLB,Wade Woodaz,Clemson,LB,360000,active,999,False,5,1.0
407,Noah Thomas,Georgia,WR,Noah Thomas,Georgia,WR,568278,active,999,False,2,1.05
413,Kam Dewberry,Alabama,OG,Kam Dewberry,Alabama,OL,560444,active,999,False,5,1.0
